OTU_ID,1AA,1AB,1AC,1AD,1AE,1AGA,1AGB,1AGC,1AGD,1AGE,1EA,1EB,1EC,1ED,1EE,1LGA,1LGE,1MA,1NA,1NB,1NC,1ND,1NE,1RA,1RB,1RC,1RD,1RE,2AAF,2ABF,2ABM,2ACF,2ADF,2AEF,2AEM,2AGAF,2AGAM,2AGBF,2AGBM,2AGCF,2AGCM,2AGDF,2AGDM,2AGEF,2AGEM,2EA,2EB,2EC,2ED,2LGB,2LGC,2LGD,2MA,2MB,2MC,2ME,2NA,2NB,2NC,2ND,2NE,Consensus Lineage
0,6,19,21,6,12,27,46,7,9,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,33,15,58,24,40,14,0,43,21,24,49,37,13,16,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__
1,13,25,19,17,10,18,28,12,34,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,2,1,2,2,0,0,2,3,3,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__
2,1,0,1,1,0,0,0,1,0,0,21,7,2,0,0,38,35,2,4,1,7,3,5,9,2,0,0,0,1,4,1,0,2,0,1,0,0,0,0,1,0,0,0,2,0,6,1,0,3,51,82,2,1,1,1,8,10,0,4,1,1,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales
3,0,0,1,1,0,0,0,4,0,2,14,1,0,2,1,0,0,26,2,10,14,9,13,14,36,19,20,64,1,2,0,4,0,3,2,0,0,0,0,0,0,0,0,0,0,24,18,4,4,0,0,0,4,11,10,9,23,11,10,5,4,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4,0,1,61,5,12,0,0,0,184,8,13,1218,74,1,324,0,0,324,2192,826,2971,1228,2153,3025,6,2,2,0,16,28,13,24,2,25,12,2,0,0,49,7,2,2,26,314,7,200,264,90,136,0,1,1,386,265,2768,1191,1172,767,1802,985,537,k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma; s__
5,16,315,26,0,1,0,16,60,354,385,2,0,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae
6,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,2,1,0,0,3,0,2,0,0,4,0,0,0,505,597,428,731,483,107,1844,508,111,755,0,175,0,8929,18,9681,9365,168,36,38,5,5,12,7,34,30,134,24,28,15,61,16,5,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
7,0,2,2,0,0,0,0,14,2,0,21,13,1,1,1,1,2,9,7,15,26,8,13,30,0,0,0,0,2,0,0,0,0,1,0,8,0,3,1,3,0,1,0,4,2,7,11,2,1,1,6,2,2,0,0,11,15,2,1,0,3,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
8,11,0,42,3,3,2,0,63,3,32,27,13,5,0,7,0,0,38,34,72,91,44,41,48,31,60,42,60,5,23,5,10,3,13,2,34,3,19,8,34,1,7,0,22,0,17,17,10,2,0,0,1,35,31,43,38,39,30,52,21,22,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
9,6,13,1168,18,34,0,0,7092,54,502,665,303,626,105,86,39,25,260,125,103,89,38,243,252,659,918,362,453,24,106,205,30,28,20,44,5040,0,3161,3222,2480,8,2259,12,1041,55,167,177,51,65,36,22,47,67,79,273,190,225,40,124,59,66,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
10,219,8447,1359,9767,6212,2,82,71,54,98,3212,3121,1796,367,635,2,0,1072,1614,724,2053,724,2887,6510,2,1,0,1,4,3,12,8,6,6,4,1,4,0,0,8,0,11,1,206,1,20,21,2,9,1,3,1,1,2,7,21,24,0,4,6,14,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
11,16,65,1310,7744,1911,0,14,409,1495,293,44,2257,432,169,172,0,0,133,710,162,1311,524,1747,3636,26,12,2,2,1505,2860,940,804,1856,1895,1244,400,3,160,1904,151,0,378,42,491,688,492,322,1,287,16,2,1,68,34,13,654,1346,204,23,523,546,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Leadbetterella; s__
12,1,0,1,1,1,0,0,9,0,1,14,5,2,0,2,0,0,12,4,7,4,5,1,8,192,144,66,74,3,2,2,7,2,3,4,27,0,7,4,5,0,1,0,5,0,11,7,7,7,0,0,2,2,4,18,3,7,7,9,6,1,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
13,0,66,18,50,16,0,0,6,2,9,56,23,8,0,14,0,0,54,12,24,37,15,36,33,10,12,6,20,32,7,17,24,15,40,27,5,2,1,1,3,2,1,0,4,2,56,37,11,10,0,0,0,22,12,15,30,28,12,20,12,7,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
14,4,35,268,121,37,2,3,310,108,109,596,2161,749,495,504,439,5,753,431,1534,2592,942,1135,4248,34,8,2,2,245,215,117,100,159,152,59,23,0,9,93,69,5,37,0,283,11,570,744,23,123,164,186,115,80,74,12,192,1404,969,38,568,227,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingopyxis
15,32,66,139,11,54,1,1,47,5,37,3076,512,1104,145,499,3,0,1105,272,372,1023,168,624,761,82,23,15,6,636,157,476,234,203,395,65,1,0,1,7,27,0,10,5,52,4,4869,1150,477,1014,8,0,1,425,389,708,587,953,202,1330,395,363,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__gelidilacus
16,21,0,0,0,0,0,0,0,0,0,69,3,14,2,0,23,20,5,1,2,3,2,1,9,3,0,0,0,13,0,0,5,18,3,0,0,0,0,0,5,1,0,0,0,0,133,83,6,42,201,177,13,2,0,0,4,2,1,2,2,0,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium
17,2,12,86,13,13,0,0,34,7,21,2041,816,572,295,218,1,1,1527,909,388,1244,101,1214,1234,110,17,2,0,214,443,84,123,169,249,74,53,22,30,174,14,12,28,0,144,18,202,6136,76,1562,1,0,0,117,2023,5,179,857,1195,6,485,81,k__Bacteria; p__Bacteroidetes
18,526,21,19,17,1,0,0,19,2,19,181,38,79,6,19,2,0,159,40,128,125,21,51,77,181,198,79,159,96,11,18,22,15,34,16,5,0,0,5,10,0,0,2,13,2,112,98,9,15,1,0,0,38,43,89,73,94,38,170,76,36,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__Wautersiella; s__
19,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,9,40,1,1,0,0,0,0,0,2,0,0,0,32,1,1,2,64,1,67,0,1,31,0,17,0,89,0,10,353,5,1,0,0,6,4,31,2,0,0,0,0,1,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
20,1,0,20,2,3,0,0,9,1,2,16,12,12,4,2,0,0,3,8,7,40,14,31,53,0,1,0,0,14,6,3,9,5,8,7,2,0,0,3,0,0,7,0,12,6,21,21,0,7,0,0,0,4,5,0,27,17,6,0,7,28,k__Bacteria; p__Bacteroidetes
21,1,10,579,4,10,0,0,4178,14,264,465,155,268,0,85,11,9,159,95,43,48,20,126,139,502,653,213,272,20,80,130,16,35,8,11,2305,0,1562,1690,1369,1,952,11,736,46,144,115,6,40,8,2,10,39,51,145,136,137,31,63,50,43,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Peptostreptococcaceae
22,0,1,3,0,0,0,0,0,1,0,26,29,36,17,7,0,0,22,10,17,26,8,58,55,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,11,27,0,19,0,0,0,5,5,0,3,33,25,0,10,2,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales
23,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,1,22,0,25,7,5,0,0,55,115,7,2,21,39,32,6,0,0,9,2,4,48,0,39,3,54,755,0,104,0,0,0,124,126,1,242,3496,922,0,328,151,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales
24,10,11,105,49,81,0,5,155,69,184,30,1246,103,38,89,0,2,75,787,195,847,218,782,2090,15,1,0,0,428,562,184,252,365,372,307,797,0,103,561,97,0,549,12,663,75,360,128,24,102,2,1,0,37,7,20,340,343,23,41,131,178,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__
25,3,1,1,0,0,0,0,0,0,0,23,10,3,0,0,0,0,23,12,9,12,3,12,11,12,2,2,0,13,6,5,5,8,9,3,0,0,0,1,2,0,0,0,2,1,11,29,3,5,1,0,1,6,13,5,2,19,11,11,13,4,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
26,0,2,86,0,0,6,0,11,8,2,22,638,5,28,0,1032,191,1589,910,1226,2438,372,77,893,35,16,3,0,16,0,11,10,4,3,3,0,0,6,33,8,5,0,0,187,6,2,144,134,22,1592,487,553,144,344,1845,185,375,251,1243,461,84,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Serpens; s__flexibilis
27,8,12,162,70,27,0,0,337,82,38,251,1149,231,88,134,124,20,416,373,789,1070,408,891,1942,41,7,2,0,197,215,135,116,140,313,213,442,0,142,236,101,0,129,4,367,44,369,831,2,94,101,45,74,59,56,3,209,1330,478,19,281,387,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales
28,1,32,292,74,50,0,0,250,42,49,39,1955,78,339,0,3,0,656,40,775,1610,1027,562,2997,8,2,1,0,118,167,35,31,25,43,145,152,0,38,3,24,1,11,3,75,176,54,309,0,68,0,0,0,18,76,1,33,976,952,0,415,105,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae
29,2,4,53,6,7,0,3,21,8,1,30,307,29,10,10,3,0,1373,844,2072,1534,385,76,542,65,18,1,1,44,62,64,25,41,42,24,4,0,3,0,11,1,3,7,147,2,87,141,313,101,108,40,14,114,131,1055,787,659,245,1341,690,485,k__Bacteria; p__Bacteroidetes; c__Flavobacteriia; o__Flavobacteriales; f__[Weeksellaceae]; g__; s__
30,1,0,18,2,1,0,0,231,0,18,35,4,24,1,0,3,1,10,5,3,8,3,12,17,23,41,21,19,0,1,2,0,0,0,0,162,0,116,22,46,0,36,0,21,6,5,13,2,0,0,0,1,7,6,16,13,10,2,14,1,4,k__Bacteria; p__Firmicutes; c__Bacilli
31,42,1196,2871,0,0,0,26,0,10,0,154,85,137,2,39,125,2016,0,1,0,0,0,0,1,0,0,0,0,178,9,0,7,186,10,3,24,0,327,0,417,0,0,0,73,226,753,352,28,39,40,988,4484,6,2,7,1,4,2,4,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae
32,2,1,27,4,3,0,0,20,5,0,2,124,2,0,5,5,0,71,52,141,80,75,70,177,1,0,0,0,34,34,8,12,25,11,9,44,0,5,20,5,0,9,0,19,27,30,42,3,2,6,0,5,10,24,7,33,168,79,22,39,51,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae
33,0,2,4,6,2,0,0,15,6,2,5,62,13,18,2,2,0,10,15,36,38,19,17,84,1,1,0,0,11,14,13,3,6,7,9,3,0,2,0,4,0,2,0,10,1,5,22,0,13,2,0,1,1,1,0,4,31,5,0,11,12,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
34,1,0,1,0,0,4,0,0,0,0,0,35,0,0,0,582,121,163,28,312,15,7,3,36,1,0,0,0,0,1,0,2,0,3,0,0,0,0,15,0,1,0,0,5,0,6,12,12,0,1405,35,16,10,3,56,15,32,15,101,26,5,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__; s__
35,7,15,90,91,48,0,0,40,45,51,164,276,105,342,191,25,0,243,238,247,1938,67,976,560,9,0,4,0,105,177,28,80,89,159,86,53,0,10,94,23,0,14,0,219,14,261,284,25,117,5,20,30,28,27,20,69,144,62,51,56,55,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae
36,4,3,492,18,2,0,0,3294,29,181,242,46,139,69,0,24,11,94,52,42,25,7,56,100,291,374,155,156,11,55,108,20,22,23,34,2651,0,1635,1526,1152,0,1052,4,591,39,88,83,4,55,21,16,13,37,31,53,58,103,23,40,26,27,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales
37,5,105,293,131,133,3,0,365,25,79,1198,154,413,477,453,5,2,1053,363,477,280,79,279,249,77,8,3,0,209,210,96,273,102,218,156,395,25,84,638,163,1,137,8,116,20,597,602,1012,489,14,6,5,128,143,543,402,152,78,257,164,138,k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Erysipelothrix; s__
38,10,4,24,10,6,0,0,40,0,2,33,31,53,1,1,3,0,26,25,15,18,25,1,64,1,0,0,0,13,4,10,4,6,8,6,2,0,1,1,4,0,1,0,15,0,60,20,0,12,0,0,0,4,5,5,25,21,4,11,20,9,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
39,329,1533,372,4,10,1,13,982,2496,933,8,66,10,58,53,12,1,2,6,2,3,0,0,7,2,0,0,0,225,4,2917,79,260,5,51,1292,0,3603,135,481,0,102,2,188,61,341,31,9,18,8,4,3,5,1,2,0,9,2,3,2,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Vagococcus; s__
40,8,11,7,14,10,0,0,0,0,0,22,61,25,17,0,5,1,34,15,16,29,25,21,86,2,0,0,0,26,3,15,1,4,6,5,0,0,0,0,0,0,0,0,1,0,69,24,0,13,0,3,0,2,3,1,5,41,3,0,7,14,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
41,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,123,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,9,0,0,0,0,0,19,3,4,1,248,775,198,0,0,0,1,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
42,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,1,52,2,40,0,25,7,0,0,47,122,1,31,76,49,7,1,0,3,0,45,0,9,0,7,0,26,48,106,397,88,24,6507,57,496,92,723,239,377,84,100,248,k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Arcobacter; s__cryaerophilus
43,0,0,0,0,0,0,0,0,0,0,0,27,4,0,0,0,0,34,12,72,53,20,59,24,1168,795,779,718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,14,0,0,6,1,0,5,14,99,22,39,17,59,25,13,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
44,298,418,86,108,165,10,0,285,10,52,178,863,552,31,79,1,2,112,599,30,419,648,423,1471,7,1,1,1,244,161,153,128,135,184,87,89,17,89,8,242,0,58,0,155,4,168,127,14,24,10,13,0,15,16,16,173,78,8,17,52,71,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Neisseriales; f__Neisseriaceae; g__Vitreoscilla; s__
45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,1,0,0,0,0,9,7,1,3,11,0,742,0,0,24,2,17,0,3,0,5,3724,34,13,2,5,87,92,345,14,23,4,13,5,15,10,3,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
46,3,0,14,2,0,0,0,67,0,4,1,12,14,2,2,0,0,0,15,2,14,13,12,25,0,0,0,0,4,2,0,0,3,1,0,16,0,0,6,14,0,52,0,15,2,14,1,0,0,1,1,3,1,0,0,15,10,1,0,9,6,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae
47,0,83,99,0,0,0,0,1,0,0,1,0,1,0,0,3,16,0,0,0,1,0,0,0,0,0,0,0,283,11,22,180,155,9,463,2686,0,91,0,875,0,18,1,520,2733,65,6,26,3,25,7,16,0,1,3,2,3,3,6,0,0,k__Bacteria; p__Firmicutes
48,10,283,761,0,0,3,0,0,0,2,74,2,28,0,0,1343,3256,0,1,1,0,4,0,1,3,0,0,0,0,0,0,5,22,0,0,2,0,0,0,1,0,0,0,0,0,16,14,6,4,2084,468,752,0,0,0,1,0,0,2,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
49,31,101,771,4,7,0,0,2243,23,283,123,115,127,4,122,56,14,135,69,77,112,29,197,146,89,136,55,161,43,43,34,35,13,21,18,471,0,154,226,148,2,141,1,195,4,127,62,257,26,86,19,34,48,42,200,115,85,24,61,42,29,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae
50,2,0,4,2,6,0,0,6,1,5,4,18,10,0,0,3,0,1,1,3,12,17,4,35,3,0,0,0,3,2,2,6,3,0,5,5,0,3,7,8,0,3,0,5,0,26,33,5,5,28,23,15,2,2,0,8,15,2,0,8,5,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae
51,0,2,8,1,1,0,0,5,0,0,99,22,9,2,11,0,0,53,21,30,63,4,55,45,1,1,0,0,7,5,2,8,6,12,0,1,0,1,3,2,0,0,0,0,0,122,46,3,4,0,0,0,12,12,7,22,63,21,22,16,12,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__
52,0,0,0,0,0,0,0,0,0,0,61,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,27,0,5,0,24,0,0,0,0,0,2,52,0,0,0,0,0,211,49,4,51,1,1,0,0,0,5,0,0,0,9,0,0,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Alcaligenes; s__faecalis
53,50,28,8,0,0,9,0,6,3,4,333,6,19,0,0,1884,2118,9,4,3,1,3,0,4,1,0,0,0,5,0,0,6,29,0,1,1,0,1,9,88,13,1,0,1,0,236,139,48,157,1256,412,221,4,2,0,6,5,0,9,6,6,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Ochrobactrum; s__
54,9,4,24,11,29,106,79,15,26,4,12,51,75,476,533,0,0,2,0,3,1,0,0,2,4,2,1,1,25,70,21,11,19,33,18,13,271,11,163,13,36,15,137,8,12,32,22,50,128,3,1,0,1,0,2,1,4,0,0,2,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas
55,7,11,333,84,34,0,0,63,23,50,269,357,444,18,219,17,0,111,202,180,450,224,217,609,16,2,3,0,296,320,97,203,203,225,129,26,0,12,59,25,0,19,0,99,22,333,580,0,97,57,47,1,37,31,8,258,311,85,4,160,265,k__Bacteria; p__Bacteroidetes
56,0,0,15,0,6,0,0,0,0,1,0,462,464,64,43,1,0,0,14,1,64,86,16,492,74,57,35,0,169,402,108,47,33,444,38,0,1,0,0,18,0,0,0,9,0,15,957,33,105,6,1,0,10,10,0,1176,46,30,0,55,1792,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria
57,0,0,22,14,3,0,0,53,0,7,9,210,37,74,0,0,0,204,68,598,603,112,112,496,2,2,1,0,20,27,1,4,4,8,11,209,0,63,41,23,0,29,0,34,12,136,278,0,147,1,0,0,80,46,4,69,1360,1272,2,359,60,k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Bdellovibrionales; f__Bacteriovoracaceae; g__Peredibacter; s__starrii
58,0,6,3,0,0,0,0,0,0,0,0,0,1,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0,4,0,16,0,0,0,0,1,40,5,12,8,191,190,356,0,0,0,0,2,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae
59,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,49,10,0,0,0,0,0,0,0,1,0,0,1,238,0,0,21,88,1,211,949,0,40,0,76,0,592,29,123,2955,71,9,0,0,231,84,47,0,1,2,2,12,1,0,1,2,k__Bacteria
60,3,1,5,1,2,0,0,3,0,1,3,29,9,2,3,0,0,5,23,12,43,13,54,47,1,1,0,0,8,13,12,6,5,2,4,0,0,0,0,0,0,0,0,8,0,1,4,0,0,2,0,2,0,0,1,1,2,2,0,0,1,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Xanthomonadales; f__Xanthomonadaceae; g__Stenotrophomonas; s__acidaminiphila
61,0,0,14,0,0,0,0,0,1,0,8,0,0,0,0,370,2317,0,2,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,16,0,13,0,1265,871,570,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas
62,1,2,165,0,0,0,0,905,0,15,1146,66,146,44,140,0,0,140,32,73,40,2,45,99,4,0,2,0,28,19,8,44,21,32,6,95,0,32,69,34,0,112,0,33,0,275,266,10,81,0,0,0,18,15,17,31,80,12,18,12,23,k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Actinomycetales; f__Jonesiaceae; g__; s__
63,4,9,49,20,5,1,0,116,24,15,78,379,118,75,0,77,293,151,93,170,384,224,292,574,13,3,3,0,47,60,38,44,42,36,20,157,0,69,16,34,0,29,0,67,14,170,122,19,46,677,140,211,15,17,0,68,247,91,11,67,136,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Agrobacterium
64,0,0,42,0,0,0,0,0,0,0,2,0,1,1,0,11,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,79,72,70,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
65,0,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,11,26,0,21,8,540,574,626,470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,1,0,3,0,0,10,6,9,1,7,8,7,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
66,177,10,109,35,23,0,0,12,1,13,185,592,1181,0,52,0,0,167,468,118,265,226,124,938,4,1,0,1,32,44,25,2,29,24,1,0,0,0,0,1,0,0,0,107,0,138,19,0,0,0,0,0,8,3,4,37,23,6,11,25,32,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
67,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,421,3,2,0,32,2,1,4,3,0,1,0,0,4,0,2,0,0,0,0,0,0,2,0,0,0,0,0,1,0,46,0,0,0,1091,2425,1471,0,0,0,0,16,1,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__; s__
68,0,0,6,0,5,0,0,5,0,3,1,16,22,0,0,0,0,0,18,1,28,18,52,90,16,3,2,0,230,747,145,160,309,442,200,26,0,3,30,14,0,47,0,141,4,1059,88,0,310,13,0,0,55,3,7,186,564,43,9,178,157,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
69,0,0,0,0,0,0,0,0,0,0,31,13,3,2,2,0,0,21,6,20,27,0,21,22,0,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,35,0,0,0,0,0,5,9,7,12,18,9,9,10,3,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae
70,0,12,0,1,0,0,0,2,0,0,0,15,0,0,0,0,0,12,3,26,55,6,31,22,1866,979,925,1133,16,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,4,0,0,2,0,0,2,3,36,14,16,5,21,19,6,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__; s__
71,6,8,47,3,13,0,0,17,0,5,209,372,148,0,0,92,0,29,202,68,407,72,46,798,8,0,0,0,27,14,5,16,7,7,1,0,0,0,0,29,0,0,0,23,0,177,319,0,40,595,996,156,3,1,1,56,39,14,3,13,43,k__Bacteria; p__Bacteroidetes; c__Cytophagia; o__Cytophagales; f__Cytophagaceae; g__Leadbetterella; s__
72,8,0,0,0,0,0,0,0,3,3,0,0,0,0,0,109,246,2,2,14,6,4,0,5,0,0,1,1,0,9,2,0,4,2,0,1,0,3,48,6,0,3,0,0,0,18,1,0,0,2436,1297,181,0,0,0,2,7,7,1,3,7,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__
73,4,3,92,10,33,0,0,606,17,223,85,75,13,68,92,0,0,111,59,94,186,51,308,140,293,79,26,206,33,46,19,16,18,18,1,335,3,52,48,96,0,111,0,31,5,21,85,32,5,0,1,1,17,39,164,124,112,60,140,101,86,k__Bacteria; p__Tenericutes; c__Mollicutes; o__RF39; f__; g__; s__
74,0,5,54,9,9,0,0,19,13,7,112,309,360,67,0,1,0,62,147,113,680,145,591,782,5,0,0,0,27,58,13,22,25,32,19,3,0,7,0,5,0,2,0,21,0,180,102,0,94,15,28,41,28,10,2,120,190,38,14,81,104,k__Bacteria; p__Bacteroidetes; c__Sphingobacteriia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Pedobacter; s__
