OTU_ID,1AA,1AB,1AC,1AD,1AE,1AGA,1AGB,1AGC,1AGD,1AGE,1EA,1EB,1EC,1ED,1EE,1LGA,1LGE,1MA,1NA,1NB,1NC,1ND,1NE,1RA,1RB,1RC,1RD,1RE,2AAF,2ABF,2ABM,2ACF,2ADF,2AEF,2AEM,2AGAF,2AGAM,2AGBF,2AGBM,2AGCF,2AGCM,2AGDF,2AGDM,2AGEF,2AGEM,2EA,2EB,2EC,2ED,2LGB,2LGC,2LGD,2MA,2MB,2MC,2ME,2NA,2NB,2NC,2ND,2NE,Consensus Lineage
4964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,7,10,12,19,2,32,12,2,22,0,10,0,188,0,242,238,3,1,1,0,0,0,0,1,0,3,2,0,1,0,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
4981,2,0,0,0,0,0,0,0,0,0,1,1,1,0,0,3,25,5,5,0,4,3,6,7,0,0,0,0,0,1,2,4,2,1,1,0,0,0,0,2,0,0,0,1,0,5,6,1,0,32,89,0,2,1,1,8,4,4,2,4,5,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
4988,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,0,0,1,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,12,2,4,0,11,29,199,0,0,2,2,1,0,1,1,0,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
4992,1,0,4,1,0,0,0,0,1,0,44,38,8,1,2,35,68,52,65,45,71,25,58,93,10,1,0,0,8,24,12,4,17,4,3,1,0,0,0,0,0,0,0,3,0,44,48,13,5,124,327,8,14,25,6,24,28,29,41,7,10,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae
4994,0,0,13,4,0,0,0,2,3,2,7,62,22,20,0,25,1,17,63,28,82,77,49,172,11,1,1,0,42,60,42,19,109,60,40,2,0,0,0,56,0,7,2,14,0,441,274,4,398,6,40,19,36,16,4,228,428,66,3,122,364,k__Bacteria; p__Bacteroidetes; c__[Saprospirae]; o__[Saprospirales]; f__Chitinophagaceae; g__; s__
4997,7,10,0,2,2,0,0,0,0,0,4,1,2,0,0,3,0,2,0,0,0,0,0,2,0,0,0,0,455,1,100,17,2,372,30,3,0,0,0,2,0,0,28,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__
4999,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,4,3,299,127,170,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,1,1,0,1,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__
5003,9,19,3,0,0,0,0,7,47,11,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,8,0,0,11,0,46,2,7,0,2,0,3,2,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Enterococcaceae; g__Vagococcus; s__
5016,4,7,5,8,5,3,5,12,8,8,9,14,5,6,2,7,11,15,6,13,29,3,11,19,18,8,5,9,8,5,11,4,6,4,3,10,1,11,4,4,4,7,1,7,13,9,15,4,7,12,13,10,8,4,4,9,15,2,4,7,5,k__Bacteria
5017,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,3,0,1,0,0,5,6,1,0,1,0,1,0,0,0,0,0,0,2,0,3,0,2,65,0,4,0,0,0,38,29,1,48,438,166,0,56,13,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales
5021,0,0,2,0,0,0,0,0,0,0,14,7,3,1,0,21,25,13,6,7,15,5,5,14,3,1,0,0,3,0,1,0,8,2,1,1,1,0,1,0,0,0,0,1,1,16,14,2,11,38,59,1,8,5,2,6,8,6,12,6,3,k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Comamonadaceae; g__Comamonas; s__
5023,58,34,288,103,61,1,4,367,49,102,168,1312,371,163,135,32,1,528,397,641,1052,511,467,2174,19,4,7,1,356,499,342,212,237,301,343,166,0,73,275,61,0,73,0,214,82,355,711,0,231,45,27,26,38,39,23,220,739,432,30,385,271,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__diminuta
5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,55,55,52,30,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae
5034,4,0,3,1,0,0,0,1,0,1,2,1,2,0,0,0,0,9,3,18,24,9,10,10,1,2,4,4,2,2,2,1,2,0,0,0,0,0,0,3,0,2,0,2,1,1,2,0,1,0,0,0,7,8,6,10,9,14,3,2,5,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter
5037,3,6,4,0,0,0,0,0,0,0,0,0,0,0,0,4,13,1,0,0,2,0,0,2,0,0,0,0,44,0,1,1,78,0,30,0,0,22,0,1,0,134,0,4,132,12,1,0,0,6,1,15,0,0,2,0,0,0,0,0,0,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae
5046,2,56,20,0,0,0,0,2,0,0,0,9,1,0,13,46,3,1,36,0,13,8,19,13,0,1,0,1,647,0,2,70,48,10,14,6,0,15,0,331,0,1,0,5,73,507,132,56,33,171,179,100,4,0,17,52,4,1,21,6,7,k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__
5060,0,0,0,0,0,0,0,8,0,0,1,4,0,13,0,0,0,18,6,19,21,1,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,0,0,0,2,2,1,18,1,3,2,21,9,3,k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae
5063,0,0,1,0,1,0,0,2,0,0,10,16,5,0,1,0,0,17,28,22,12,22,6,27,17,38,18,29,1,0,0,0,1,0,2,20,0,15,0,8,0,1,0,9,0,5,12,1,4,0,0,0,7,11,16,10,31,15,21,13,10,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__
5064,0,0,1,0,0,0,0,1,0,0,15,8,3,0,1,3,0,22,27,29,23,11,17,18,13,6,2,0,3,0,0,1,1,0,0,2,0,0,0,2,0,1,0,1,0,11,23,2,2,1,0,0,2,7,3,12,20,9,20,5,7,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae
5065,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,87,248,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,212,290,63,1,0,0,1,0,1,0,0,0,k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae; g__Paracoccus
5068,0,0,13,0,0,0,0,71,0,3,15,1,8,0,2,0,0,10,8,18,15,7,14,15,7,18,8,22,0,0,0,0,0,0,0,23,0,12,11,24,0,2,0,5,0,0,2,0,0,1,0,0,22,14,7,13,5,4,16,1,5,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae
5071,0,9,41,5,9,2,0,175,8,16,225,410,190,49,159,0,2,580,412,770,810,305,773,834,77,165,61,111,30,26,20,38,16,25,16,380,0,211,114,202,0,100,1,209,20,230,404,118,150,0,1,5,139,175,475,311,789,314,673,344,286,k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Planococcaceae; g__Solibacillus; s__
5073,0,1,0,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,18,16,21,6,102,32,0,1,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,3,0,0,0,0,0,1,4,0,4,13,0,1,0,6,k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__guillouiae
