"","X1AA","X1AB","X1AC","X1AD","X1AE","X1AGA","X1AGB","X1AGC","X1AGD","X1AGE","X1EA","X1EB","X1EC","X1ED","X1EE","X1LGA","X1LGE","X1MA","X1NA","X1NB","X1NC","X1ND","X1NE","X1RA","X1RB","X1RC","X1RD","X1RE","X2AAF","X2ABF","X2ABM","X2ACF","X2ADF","X2AEF","X2AEM","X2AGAF","X2AGAM","X2AGBF","X2AGBM","X2AGCF","X2AGCM","X2AGDF","X2AGDM","X2AGEF","X2AGEM","X2EA","X2EB","X2EC","X2ED","X2LGB","X2LGC","X2LGD","X2MA","X2MB","X2MC","X2ME","X2NA","X2NB","X2NC","X2ND","X2NE"
"5",0,0.0181162702222866,1.12376109944365,0.126027121036447,0.376411543287328,0,0,0,4.82673591983421,0.186224074117182,0.152483725294704,14.7602370363189,1.7097966728281,0.0679440141323549,13.939081053175,0,0,3.43660836453505,34.3913268588104,7.12136495702179,21.093661251846,19.6533457100331,24.6683012901304,20.0305921771433,0.0727916823370983,0.0285979838421391,0.0377145012257213,0,0.260552371026576,0.596061734965407,0.304763690922731,0.524532837941209,0.0509152007331789,0.511352014726938,0.364442554742309,0.0403575680529491,0,0,1.33555016489956,0.152230172020094,0.0929584011155008,0.048226471510212,2.26126282831797,7.51321991721102,0.18035194393631,2.30858910576801,3.34605001330815,3.21969019425464,4.05958031103549,0,0.0137458934143425,0.0225220152699264,12.6919409463059,6.70886075949367,58.4891706286318,18.9791723104871,11.4558285926534,15.1085372099437,24.5691535776614,21.428882217291,14.3971688249015
"7",0,0,0,0,0,0.0529100529100529,0,0,0,0.0232780092646477,0,0.0121184212120845,0.0231053604436229,0.0679440141323549,0,0.0675014344054811,0.0257023157786517,0,0,0.0258645216356723,0,0.0320087063681321,0,0,0.0485277882247322,0,0,0,8.22368421052632,12.7088877062267,10.0337584396099,15.9763960222926,12.2960209770627,2.18858662303129,56.0026725787348,10.2508222854491,5.75875486381323,20.1049183820201,0,3.80575430050236,0,215.307082057341,1.56548965037398,231.641662479363,241.285136423363,1.93921484884513,0.456279547269294,1.35942474868529,0.149249276141011,0.0684265987874807,0.16495072097211,0.157654106889484,1.11794298490777,0.759493670886076,2.83148441627047,0.382451834972033,0.273688737708443,0.295473348303983,0.831697207678883,0.348083365966149,0.134051851256066
"10",0.153080750095675,0.235511512889726,21.51726170738,0.453697635731209,1.06649937264743,0,0,92.4822325096173,1.41654206342961,11.6855606508531,7.80012902469063,3.6718816272616,14.4639556377079,7.13412148389727,3.69987953880571,1.31627797090688,0.642557894466291,2.75777214437998,1.96118424149238,0.888015242824751,0.63188685675338,0.608165420994511,2.78420678750659,1.66866420781491,7.99495311002463,13.1264745835419,6.82632472185555,7.27804376466052,0.390828556539864,2.25651942522618,4.80588897224306,0.655666047426511,0.712812810264504,0.40908161178155,1.33628936738847,101.701071493432,0,84.1743668947887,87.8192373735997,53.9329752299763,0.371833604462003,54.4717995707844,1.04365976691599,24.9084774962314,1.41705098807101,1.92767190331629,2.24337444074069,1.82449111007763,1.94024058983314,0.492671511269861,0.302409655115534,1.05853471768654,2.20300529378884,2,5.76862123613312,3.0277436935286,2.19928449944285,0.787928928810621,1.69066317626527,1.28355741200017,1.76948443658007
"11",5.58744737849216,153.028134567655,25.035923510556,246.181378232596,194.855708908407,0.105820105820106,3.07185135236383,0.925865553889287,1.41654206342961,2.28124490793547,37.6752096651223,37.8215926029157,41.4972273567468,24.9354531865743,27.3188779900189,0.0675014344054811,0,11.3705066875974,25.3228109261496,6.24197122140893,14.5759968192662,11.5871517052638,33.0782098581544,43.1071587018852,0.0242638941123661,0.0142989919210696,0,0.0160663217762925,0.0651380927566441,0.0638637573177222,0.281320330082521,0.174844279313736,0.152745602199537,0.122724483534465,0.12148085158077,0.0201787840264746,0.207522697795071,0,0,0.173977339451536,0,0.265245593306166,0.0869716472429988,4.92905510492188,0.0257645634194729,0.230858910576801,0.266163069240421,0.0715486709834365,0.268648697053819,0.0136853197574961,0.0412376802430274,0.0225220152699264,0.0328806760266991,0.0506329113924051,0.147913365029054,0.334645355600529,0.234590346607237,0,0.0545375218150087,0.130531262237306,0.375345183516984
"12",0.408215333588468,1.17755756444863,24.1332301683799,195.190805061249,59.9435382685069,0,0.524462426013336,5.33350720479885,39.217229348653,6.82045671454177,0.516098762535922,27.3512766756747,9.9815157116451,11.482538388368,7.39975907761143,0,0,1.41070652000976,11.1395264916767,1.39668416832631,9.30790639554697,8.38628106845062,20.0164990031852,24.076440712758,0.315430623460759,0.171587903052835,0.0377145012257213,0.0321326435525851,24.5082073996873,60.8834486428952,22.0367591897974,17.5718500710305,47.24930628039,38.7604827163019,37.7805448416193,8.07151361058983,0.155642023346304,4.26064495513008,51.8956635503829,3.28382228214775,0,9.11480311543006,3.65280918420595,11.7483789151293,17.7260196325973,5.6791292001893,4.08116706168646,0.0357743354917182,8.56690845049402,0.218965116119938,0.0274917868286849,0.0225220152699264,2.23588596981554,0.860759493670886,0.274696249339673,10.4218125029879,13.1566086055559,4.01843753693417,0.3135907504363,11.3779750250185,14.6384621571624
"15",0.102053833397117,0.634069457780032,4.93717991230979,3.04985632908202,1.16060225846926,0.105820105820106,0.112384805574286,4.04251157331942,2.83308412685921,2.5373030098466,6.99079232889567,26.1879082393146,17.3059149722736,33.6322869955157,21.6830149716056,14.8165648520031,0.128511578893258,7.98693240276202,6.76216326466574,13.2253920630405,18.4028172214018,15.0761006993902,13.0044226494649,28.1289109317371,0.412486199910224,0.114391935368557,0.0377145012257213,0.0321326435525851,3.98970818134445,4.57690260777009,2.74287321830458,2.1855534914217,4.04775845828772,3.10902024953978,1.79184256081635,0.464112032608915,0,0.239661278726067,2.53481970072774,1.5005545527695,0.232396002788752,0.892189722938921,0,6.77146890627617,0.283410197614201,6.57947895143883,9.42977731023207,0.82280971630952,3.67153219306886,2.24439244022937,2.5567361750677,2.59003175604153,2.63045408213593,1.87341772151899,0.253565768621236,3.05961467977627,13.7235352765234,19.0875783004373,0.518106457242583,12.3569594917983,6.08595404702539
"16",0.816430667176936,1.19567383467092,2.56070152168306,0.277259666280184,1.69385194479297,0.0529100529100529,0.0374616018580955,0.61289691595488,0.131161302169408,0.861286342791964,36.0799953081931,6.20463166058726,25.5083179297597,9.85188204919147,21.4679056960936,0.101252151608222,0,11.7205316136149,4.26753690948743,3.20720068282337,7.26314892650233,2.6887313349231,7.1495680469305,5.03910104026646,0.99481965860701,0.3288768141846,0.28285875919291,0.0963979306577552,10.3569567483064,3.34220329962746,11.15903975994,5.11419516992678,5.16789287441766,8.07936183268562,1.97406383818751,0.0201787840264746,0,0.026629030969563,0.190792880699937,0.587173520648935,0,0.24113235755106,0.434858236214994,1.24422750221329,0.103058253677891,56.2026017799222,14.5755966488802,17.0643580295496,30.267753201397,0.109482558059969,0,0.0225220152699264,13.9742873113471,9.84810126582279,14.9603803486529,9.35413446369098,9.31519167986237,3.97904109049364,18.1337260034904,8.5933080972893,9.73216440119038
"18",0.0510269166985585,0.21739524266744,1.58431892708448,0.327670514694762,0.407779171894605,0,0,0.443372237073743,0.183625823037171,0.488838194557601,23.9399448712685,9.88863170906094,13.2162661737523,20.0434841690447,9.37876441232146,0.0337507172027406,0.0257023157786517,16.1966079402624,14.2617318041326,3.34514479821362,8.83221628990117,1.61643967159067,13.9095762964321,8.17115727160159,1.33451417618014,0.243082862658183,0.0377145012257213,0,3.48488796248046,9.43054816391698,1.96924231057764,2.68823079444869,4.30233446195362,5.0930660666803,2.24739575424424,1.06947555340315,1.14137483787289,0.798870929086891,4.74256589168416,0.304460344040189,0.557750406693005,0.675170601142967,0,3.44555308305219,0.463762141550511,2.33167499682569,77.7703139456774,2.71884949737059,46.6254738664517,0.0136853197574961,0,0,3.8470390951238,51.2151898734177,0.105652403592182,2.85245326916641,8.37683029343343,23.5393767482173,0.0818062827225131,10.5512770308489,2.17163999034827
"22",0.0255134583492792,0.181162702222866,10.6665192881618,0.100821696829158,0.313676286072773,0,0,54.4826237204147,0.367251646074342,6.14539444586699,5.45422555861826,1.8783552878731,6.19223659889094,0,3.65685768370332,0.371257889230146,0.231320842007865,1.68648373444776,1.49050002353421,0.370724810111304,0.340792911507441,0.320087063681321,1.44366277870712,0.920413987643939,6.09023742220389,9.33724172445842,4.01659438053932,4.37003952315157,0.32569046378322,1.70303352847259,3.04763690922731,0.349688558627472,0.891016012830631,0.16363264471262,0.334072341847116,46.5120971810239,0,41.5945463744574,46.0628526261277,29.7718722136442,0.0464792005577504,22.9558004388609,0.956688119672987,17.6106046467112,1.18516991729575,1.66218415615297,1.45755966488802,0.214646012950309,1.19399420912809,0.109482558059969,0.0274917868286849,0.225220152699264,1.28234636504127,1.29113924050633,3.06391970417327,2.16722706484152,1.33911989521631,0.610644919828232,0.858965968586388,1.08776051864422,1.15284592080217
"32",1.07156525066973,21.6670591858548,52.8904609262739,0,0,0,0.974001648310482,0,0.262322604338816,0,1.80634566887573,1.03006580302718,3.16543438077634,0.13588802826471,1.67785234899329,4.21883965034257,51.8158686097617,0,0.0156894739319391,0,0,0,0,0.00662168336434488,0,0,0,0,2.89864512767066,0.191591271953167,0,0.152988744399519,4.73511366818564,0.204540805890775,0.0911106386855772,0.48429081663539,0,8.70769312704711,0,9.06856881891134,0,0,0,1.74670399349173,5.82279133280087,8.69183798321656,4.4614000177442,1.00168139376811,1.16414435389988,0.547412790299845,13.5809426933704,100.98871647035,0.197284056160195,0.0506329113924051,0.147913365029054,0.0159354931238347,0.0390983911012062,0.0393964464405311,0.0545375218150087,0,0
