"","1AA","1AB","1AC","1AD","1AE","1AGA","1AGB","1AGC","1AGD","1AGE","1EA","1EB","1EC","1ED","1EE","1LGA","1LGE","1MA","1NA","1NB","1NC","1ND","1NE","1RA","1RB","1RC","1RD","1RE","2AAF","2ABF","2ABM","2ACF","2ADF","2AEF","2AEM","2AGAF","2AGAM","2AGBF","2AGBM","2AGCF","2AGCM","2AGDF","2AGDM","2AGEF","2AGEM","2EA","2EB","2EC","2ED","2LGB","2LGC","2LGD","2MA","2MB","2MC","2ME","2NA","2NB","2NC","2ND","2NE","Consensus Lineage"
"0",0.153080750095675,0.344209134223446,0.386868575218304,0.151232545243736,0.376411543287328,1.42857142857143,1.72323368547239,0.0912825193975354,0.236090343904934,0.512116203822249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.423397602918187,0.702501330494944,0.351650412603151,1.26762102502459,0.610982408798147,0.818163223563101,0.425182980532694,0,2.23086900129702,0.559209650360823,0.654147019542642,1.06561120414066,1.71973042063676,0.313472064816378,1.39154635588798,0.215347067690762,0.206116507355783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__"
"1",0.33167495854063,0.452906755557166,0.350023949007037,0.42849221152392,0.313676286072773,0.952380952380952,1.04892485202667,0.156484318967203,0.891896854751974,0.768174305733374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032569046378322,0.0638637573177222,0.0468867216804201,0.0437110698284341,0.0254576003665894,0.040908161178155,0.0607404257903848,0,0,0.053258061939126,0.0817683774428303,0.0652415022943262,0.278875203346502,0.024113235755106,0.173943294485998,0,0.0257645634194729,0,0,0,0,0,0,0,0,0,0,0.0159354931238347,0,0,0,0,0,"k__Bacteria; p__Tenericutes; c__Mollicutes; o__Entomoplasmatales; f__; g__; s__"
"2",0.0255134583492792,0,0.0184223131056335,0.0252054242072894,0,0,0,0.0130403599139336,0,0,0.246319863937599,0.0848289484845914,0.0462107208872458,0,0,1.28252725370414,0.899581052252808,0.021213631879846,0.0627578957277562,0.00862150721189078,0.0496989662615018,0.0480130595521982,0.0572882055042508,0.059595150279104,0.0242638941123661,0,0,0,0.016284523189161,0.0851516764236296,0.0234433608402101,0,0.0509152007331789,0,0.0303702128951924,0,0,0,0,0.0217471674314421,0,0,0,0.0478549039312804,0,0.0692576731730403,0.0126744318685915,0,0.0895495656846064,0.697951307632303,1.12716325997608,0.0450440305398527,0.0328806760266991,0.0253164556962025,0.0211304807184363,0.127483944990678,0.0977459777530155,0,0.0545375218150087,0.0217552103728843,0.0268103702512132,"k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales"
"3",0,0,0.0184223131056335,0.0252054242072894,0,0,0,0.0521614396557345,0,0.0465560185292954,0.164213242625066,0.0121184212120845,0,0.13588802826471,0.043021855102392,0,0,0.275777214437998,0.0313789478638781,0.0862150721189078,0.0993979325230035,0.144039178656595,0.148949334311052,0.0927035671008284,0.43675009402259,0.271680846500322,0.377145012257213,1.02824459368272,0.016284523189161,0.0425758382118148,0,0.0874221396568681,0,0.0613622417672326,0.0607404257903848,0,0,0,0,0,0,0,0,0,0,0.277030692692161,0.228139773634647,0.143097341966873,0.119399420912809,0,0,0,0.131522704106796,0.278481012658228,0.211304807184363,0.143419438114512,0.224815748831936,0.216680455422921,0.136343804537522,0.108776051864422,0.107241481004853,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__"
"4",0,0.0181162702222866,1.12376109944365,0.126027121036447,0.376411543287328,0,0,0,4.82673591983421,0.186224074117182,0.152483725294704,14.7602370363189,1.7097966728281,0.0679440141323549,13.939081053175,0,0,3.43660836453505,34.3913268588104,7.12136495702179,21.093661251846,19.6533457100331,24.6683012901304,20.0305921771433,0.0727916823370983,0.0285979838421391,0.0377145012257213,0,0.260552371026576,0.596061734965407,0.304763690922731,0.524532837941209,0.0509152007331789,0.511352014726938,0.364442554742309,0.0403575680529491,0,0,1.33555016489956,0.152230172020094,0.0929584011155008,0.048226471510212,2.26126282831797,7.51321991721102,0.18035194393631,2.30858910576801,3.34605001330815,3.21969019425464,4.05958031103549,0,0.0137458934143425,0.0225220152699264,12.6919409463059,6.70886075949367,58.4891706286318,18.9791723104871,11.4558285926534,15.1085372099437,24.5691535776614,21.428882217291,14.3971688249015,"k__Bacteria; p__Tenericutes; c__Mollicutes; o__Acholeplasmatales; f__Acholeplasmataceae; g__Acholeplasma; s__"
"5",0.408215333588468,5.70662512002029,0.478980140746472,0,0.0313676286072773,0,0.599385629729527,0.782421594836017,9.28622019359408,8.96203356688936,0.0234590346607237,0,0.0462107208872458,0,0,0,0,0.010606815939923,0,0,0.00709985232307168,0,0,0.00662168336434488,0,0,0,0,0,0,0.0234433608402101,0,0,0,0,0,0,0,0,0,0,0,0,0.0478549039312804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae"
"6",0,0,0,0,0,0.0529100529100529,0,0,0,0.0232780092646477,0,0.0121184212120845,0.0231053604436229,0.0679440141323549,0,0.0675014344054811,0.0257023157786517,0,0,0.0258645216356723,0,0.0320087063681321,0,0,0.0485277882247322,0,0,0,8.22368421052632,12.7088877062267,10.0337584396099,15.9763960222926,12.2960209770627,2.18858662303129,56.0026725787348,10.2508222854491,5.75875486381323,20.1049183820201,0,3.80575430050236,0,215.307082057341,1.56548965037398,231.641662479363,241.285136423363,1.93921484884513,0.456279547269294,1.35942474868529,0.149249276141011,0.0684265987874807,0.16495072097211,0.157654106889484,1.11794298490777,0.759493670886076,2.83148441627047,0.382451834972033,0.273688737708443,0.295473348303983,0.831697207678883,0.348083365966149,0.134051851256066,"k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Dysgonomonas; s__"
"7",0,0.0362325404445733,0.0368446262112671,0,0,0,0,0.182565038795071,0.0524645208677632,0,0.246319863937599,0.157539475757098,0.0231053604436229,0.0679440141323549,0.043021855102392,0.0337507172027406,0.0514046315573033,0.0954613434593069,0.109826317523573,0.129322608178362,0.184596160399864,0.128034825472529,0.148949334311052,0.198650500930347,0,0,0,0,0.032569046378322,0,0,0,0,0.0204540805890775,0,0.161430272211797,0,0.0798870929086891,0.0272561258142768,0.0652415022943262,0,0.024113235755106,0,0.0957098078625607,0.0515291268389457,0.0808006187018804,0.139418750554506,0.0715486709834365,0.0298498552282021,0.0136853197574961,0.0824753604860548,0.0450440305398527,0.0657613520533982,0,0,0.175290424362182,0.146618966629523,0.0393964464405311,0.0136343804537522,0,0.0804311107536395,"k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhodobacterales; f__Rhodobacteraceae"
"8",0.280648041842072,0,0.773737150436609,0.0756162726218682,0.0941028858218319,0.105820105820106,0,0.821542674577818,0.0786967813016448,0.744896296468726,0.31669696791977,0.157539475757098,0.115526802218115,0,0.301152985716744,0,0,0.403059005717074,0.533442113685928,0.620748519256136,0.646086561399523,0.704191540098907,0.469763285134856,0.317840801488554,0.376090358741674,0.857939515264174,0.792004525740147,0.963979306577552,0.0814226159458051,0.48962213943587,0.11721680420105,0.21855534914217,0.0763728010997683,0.265903047658008,0.0607404257903848,0.686078656900135,0.155642023346304,0.505951588421697,0.218049006514214,0.73940369266903,0.0464792005577504,0.168792650285742,0,0.526403943244084,0,0.196230073990281,0.215465341766055,0.357743354917182,0.0596997104564043,0,0,0.0225220152699264,1.15082366093447,0.784810126582278,0.908610670892763,0.605548738705719,0.38120931323676,0.590946696607966,0.708987783595113,0.45685941783057,0.58982814552669,"k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter"
"9",0.153080750095675,0.235511512889726,21.51726170738,0.453697635731209,1.06649937264743,0,0,92.4822325096173,1.41654206342961,11.6855606508531,7.80012902469063,3.6718816272616,14.4639556377079,7.13412148389727,3.69987953880571,1.31627797090688,0.642557894466291,2.75777214437998,1.96118424149238,0.888015242824751,0.63188685675338,0.608165420994511,2.78420678750659,1.66866420781491,7.99495311002463,13.1264745835419,6.82632472185555,7.27804376466052,0.390828556539864,2.25651942522618,4.80588897224306,0.655666047426511,0.712812810264504,0.40908161178155,1.33628936738847,101.701071493432,0,84.1743668947887,87.8192373735997,53.9329752299763,0.371833604462003,54.4717995707844,1.04365976691599,24.9084774962314,1.41705098807101,1.92767190331629,2.24337444074069,1.82449111007763,1.94024058983314,0.492671511269861,0.302409655115534,1.05853471768654,2.20300529378884,2,5.76862123613312,3.0277436935286,2.19928449944285,0.787928928810621,1.69066317626527,1.28355741200017,1.76948443658007,"k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales"
